video name,name,duration,link,thumbnail,created_time,modified_time,release_time
LAPD Recruit Officer Graduation Ceremony for Class 8B-22,,4485,https://vimeo.com/806126239,https://i.vimeocdn.com/video/1627723834-00aa768ec7c38de739dd2c52ff6db47cdcfcb2ee9ca3c2382662c3ebccb0c980-d_1920x1080?r=pad,2023-03-08T22:22:54+00:00,2023-05-07T21:40:57+00:00,2023-03-08T22:22:54+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 1-18,,4487,https://vimeo.com/279390718,https://i.vimeocdn.com/video/712737398-319ed78489e407aac24c31786725fc5573d466e522f6d58104d5668694f60f0a-d_1920x1080?r=pad,2018-07-11T04:50:19+00:00,2023-04-27T15:22:34+00:00,2018-07-11T04:50:19+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 10B-2018,,4491,https://vimeo.com/332258769,https://i.vimeocdn.com/video/777940719-16f58bb54535f867d5a516b7b4fa28021e51cb3790a78e1b4f1f98c4bc6b5998-d_1920x1080?r=pad,2019-04-24T16:23:54+00:00,2023-04-08T00:37:53+00:00,2019-04-24T16:23:54+00:00
LAPD Recruit Officer Graduation Ceremony for Class 7-22,,4511,https://vimeo.com/783969610,https://i.vimeocdn.com/video/1574587706-bbb8a175bd16c31218f6afc8d2d5ec36ce3f054e02b4f4928807b8c443abdb37-d_1920x1080?r=pad,2022-12-23T16:45:52+00:00,2023-05-07T21:41:38+00:00,2022-12-23T16:45:52+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 11-2018,,4519,https://vimeo.com/337459717,https://i.vimeocdn.com/video/784681743-2fe35d235df4a75afd59b998ce6604bab371003872d3bc68fbe1c14dec737bcf-d_1920x1080?r=pad,2019-05-21T07:12:11+00:00,2023-01-17T13:13:46+00:00,2019-05-21T07:12:11+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 4-16,,4519,https://vimeo.com/188201153,https://i.vimeocdn.com/video/598982927-f341d33b26d093765bd893364851ff31d54dd5ff56eae6663a1466510972d563-d_1920x1080?r=pad,2016-10-20T20:05:54+00:00,2022-04-07T04:47:31+00:00,2016-10-20T20:05:54+00:00
LAPD Class 11 2014 Graduation,,4594,https://vimeo.com/127729219,https://i.vimeocdn.com/video/518625275-0b5e46f0d2d19af17ac71e02f32251d96043241f39c43d83e680bc04d868c4cd-d_1920x1080?r=pad,2015-05-13T15:28:01+00:00,2023-02-06T21:37:40+00:00,2015-05-13T15:28:01+00:00
LAPD Class 8B-2021 Graduation Ceremony,,4612,https://vimeo.com/692373951,https://i.vimeocdn.com/video/1401473881-0aa0651aa392c6ff4bfe22647071c01e966418e2679660a091c96e8e82691fde-d_1920x1080?r=pad,2022-03-25T18:54:51+00:00,2023-04-24T07:11:15+00:00,2022-03-25T18:54:51+00:00
LAPD Class 9-2021 Graduation Ceremony,,4616,https://vimeo.com/702443662,https://i.vimeocdn.com/video/1419249023-4a30736593a6afbccd3f61abb4b425636c091b92bac8132fb5a92537b800755c-d_1920x1080?r=pad,2022-04-23T23:06:40+00:00,2022-12-17T22:12:56+00:00,2022-04-23T23:06:40+00:00
LAPD Class 6-2019 Graduation Ceremony,,4616,https://vimeo.com/377077487,https://i.vimeocdn.com/video/836433420-054a0ce83db5272906bb7583b6f1f4ab9884e51096bd305e8f89402f16e702f4-d_1920x1080?r=pad,2019-12-03T14:57:40+00:00,2023-05-05T18:19:16+00:00,2019-12-03T14:57:40+00:00
